DateTime,AddedIPs,RemovedIPs
1603810624,7,18
1603818515,9,17
1603825714,26,22
1603832921,18,11
1603840114,18,24
1603847314,20,53
1603854513,40,30
1603861715,38,6
1603869639,16,17
1603876898,21,17
1603884040,22,14
1603891238,12,15
1603898684,24,9
1603906126,20,17
1603913344,15,13
1603920512,17,16
1603927732,16,27
1603934917,17,51
1603942172,52,23
1603949316,27,11
1603956751,10,15
1603963961,23,12
1603971151,13,12
1603978353,13,11
1603986298,18,11
1603993474,12,16
1604000677,20,25
1604007877,18,17
1604015099,12,36
1604022991,27,2
1604030192,40,66
1604037394,25,13
1604044596,16,14
1604051831,21,11
1604058995,19,15
1604066436,9,16
1604073645,19,17
1604081556,18,12
1604088762,36,15
1604095976,37,21
1604103155,32,23
1604110353,38,41
1604117561,40,28
1604124996,27,14
1604132657,18,14
1604139850,21,7
1604147053,14,30
1604154261,25,10
1604160973,20,9
1604168432,20,10
1604175633,19,16
1604182835,19,18
1604190752,23,28
1604197955,25,45
1604205151,55,17
1604212594,20,10
1604219810,18,10
1604226994,16,14
1604234914,19,6
1604242114,20,17
1604249317,10,9
1604256514,22,18
1604263710,13,16
1604270914,21,15
1604278117,9,36
1604286032,33,48
1604293270,39,19
1604300473,13,6
1604307641,10,10
1604314864,14,4
1604322752,19,14
1604329952,21,17
1604337153,40,12
1604344356,24,18
1604351554,19,15
1604359528,28,12
1604366677,27,37
1604373881,42,44
1604381314,31,19
1604388519,15,11
1604395715,17,7
1604402915,17,11
1604410838,18,11
1604418048,24,19
1604425235,20,24
1604432469,18,19
1604439634,24,14
1604446839,12,22
1604454754,22,35
1604461474,48,34
1604462192,5,0
1604465113,13,20
1604472279,17,10
1604480192,15,11
1604487393,14,14
1604494594,16,15
1604501877,12,22
1604508995,17,19
1604516195,17,21
1604524119,17,16
1604531319,16,21
1604538515,25,41
1604545717,34,43
1604553154,39,11
1604560355,12,13
1604567555,12,26
1604574763,18,17
1604581960,19,13
1604589156,4,17
1604589877,11,0
1604594195,8,11
1604596357,11,0
1604601394,24,15
1604603554,14,0
1604607161,12,0
1604608627,0,18
1604611479,15,0
1604617956,11,17
1604625160,21,47
1604633082,38,32
1604640297,29,11
1604647480,17,9
1604654690,7,14
1604661883,19,11
1604669096,19,15
1604677008,60,8
1604684197,31,18
1604691433,13,11
1604699315,14,10
1604706518,12,29
1604713713,24,43
1604720913,35,21
1604728114,19,10
1604735315,16,16
1604742512,14,10
1604749714,15,16
1604756914,16,14
1604764116,12,16
1604772040,20,15
1604779244,18,25
1604786440,20,20
1604793649,9,28
1604800852,24,49
1604808753,45,21
1604815956,24,11
1604823155,16,12
1604830357,19,19
1604837557,16,16
1604844757,14,16
1604852678,14,14
1604859637,15,14
1604866834,24,14
1604874051,9,16
1604881961,18,49
1604889157,27,30
1604896359,41,15
1604903571,24,8
1604910759,10,19
1604917965,14,8
1604925156,20,19
1604932360,14,8
1604939597,34,16
1604947475,30,19
1604954675,18,14
1604961874,16,20
1604969316,12,43
1604976513,39,33
1604983716,43,13
1604991130,27,14
1604998332,20,14
1605005537,19,12
1605012754,11,9
1605020350,19,18
1605027888,21,14
1605035078,22,21
1605042758,39,13
1605049991,17,21
1605057154,16,50
1605064358,44,31
1605071556,38,14
1605078764,16,12
1605085953,19,11
1605093171,12,14
1605100593,16,11
1605107792,14,9
1605114992,60,22
1605122196,23,14
1605130113,13,9
1605137316,18,25
1605144516,21,46
1605151713,42,30
1605158914,30,13
1605166118,13,13
1605173321,15,10
1605181236,18,15
1605188432,15,11
1605195635,63,33
1605202837,13,20
1605210278,18,19
1605213179,11,0
1605218196,3,21
1605221076,14,0
1605226831,12,36
1605234031,25,39
1605241231,45,25
1605248432,28,26
1605255651,14,8
1605262832,23,12
1605270033,21,15
1605277507,16,20
1605284676,15,17
1605291878,17,19
1605299078,13,16
1605306992,55,20
1605314434,20,34
1605321633,34,45
1605328834,44,16
1605336032,22,21
1605343235,12,13
1605350434,20,9
1605358355,25,12
1605365529,19,15
1605372966,25,25
1605380166,22,16
1605387368,19,19
1605395292,58,22
1605402529,21,42
1605409689,32,36
1605416888,33,12
1605424090,16,6
1605431294,18,12
1605438490,11,15
1605446405,18,16
1605452904,14,13
1605460807,13,17
1605468010,20,21
1605475205,15,14
1605482406,18,22
1605489605,13,46
1605496810,37,26
1605504053,36,14
1605511455,19,21
1605518890,16,15
1605526232,17,18
1605533288,15,19
1605540513,17,10
1605544116,5,0
1605547962,0,14
1605548703,11,0
1605549728,45,0
1605554057,0,19
1605557553,20,0
1605560887,6,0
1605561608,0,11
1605564173,6,0
1605568330,5,0
1605575770,17,70
1605582974,44,0
1605590407,28,38
1605597625,15,9
1605605054,16,15
1605612290,15,0
1605619693,15,15
1605626885,32,21
1605630506,1,16
1605631930,35,0
1605634087,9,0
1605634810,0,16
1605640571,13,0
1605642727,3,21
1605647054,6,0
1605649208,5,16
1605656440,18,0
1605663610,25,97
1605670085,5,0
1605672253,45,28
1605674412,11,0
1605679459,23,16
1605684728,15,0
1605691925,14,24
1605699127,16,21
1605706328,14,19
1605713532,18,10
1605715690,7,29
1605721456,56,0
1605726488,4,26
1605728649,19,0
1605731531,3,16
1605735851,17,0
1605737289,3,21
1605743766,13,0
1605750515,28,37
1605752676,2,40
1605754830,36,0
1605759880,12,22
1605762754,18,0
1605766351,9,16
1605769232,10,0
1605776444,26,11
1605783681,13,7
1605790843,12,12
1605798051,19,18
1605805954,14,17
1605813156,24,12
1605820373,19,19
1605827551,22,15
1605834799,19,44
1605841952,41,36
1605849150,34,16
1605856354,21,16
1605863809,20,17
1605870996,22,17
1605878308,19,25
1605885630,14,11
1605892361,20,17
1605899577,63,16
1605906755,24,17
1605913972,14,24
1605921393,21,51
1605928831,44,27
1605936034,32,15
1605943251,10,17
1605950678,22,18
1605957878,11,16
1605965078,16,20
1605972517,13,17
1605977592,2,0
1605979717,0,19
1605980433,18,0
1605986917,0,13
1605987636,21,0
1605994839,12,11
1606002752,14,31
1606009954,21,46
1606017169,40,29
1606024354,29,15
1606031588,16,14
1606038754,19,12
1606046678,13,20
1606053873,16,24
1606061315,55,16
1606068050,14,14
1606074037,13,0
1606074752,0,12
1606076214,1,0
1606082678,17,15
1606090590,19,23
1606097792,27,49
1606104995,40,25
1606112194,32,19
1606119394,22,16
1606126597,23,12
1606133799,16,17
1606140999,20,23
1606143151,2,0
1606148194,11,18
1606152518,8,0
1606153955,11,0
1606156118,0,15
1606158283,57,0
1606161183,8,0
1606162598,0,15
1606165456,13,0
1606169767,13,16
1606173367,10,0
1606180566,21,29
1606187872,51,48
1606195838,35,17
1606203206,18,13
1606209883,16,8
1606216597,19,22
1606224033,22,20
1606231234,18,11
1606237721,15,12
1606240600,5,0
1606244210,52,10
1606246358,7,0
1606252119,12,22
1606253579,14,0
1606260283,12,12
1606267490,28,27
1606274701,44,51
1606282591,40,20
1606289791,17,24
1606296996,13,11
1606304191,18,9
1606311394,16,16
1606319310,29,13
1606326037,52,17
1606333259,13,15
1606336110,3,0
1606339007,8,18
1606346191,17,14
1606353882,28,40
1606361078,49,43
1606368278,36,23
1606375209,16,15
1606382410,20,23
1606389610,23,12
1606396807,14,18
1606404008,15,9
1606411455,21,23
1606418656,17,18
1606420088,3,0
1606422253,5,0
1606426085,14,17
1606426815,1,0
1606433286,13,16
1606440485,25,47
1606447685,41,42
1606454885,39,21
1606462085,20,17
1606469289,20,8
1606477206,22,20
1606484416,17,22
1606491651,11,21
1606497152,7,0
1606498591,0,16
1606502910,11,0
1606510114,19,17
1606516117,1,11
1606516831,7,0
1606518992,4,0
1606526214,16,20
1606533390,49,48
1606540609,40,31
1606547790,20,15
1606555008,18,15
1606562168,17,14
1606569371,20,16
1606576570,16,19
1606583802,22,11
1606591935,16,19
1606598408,20,15
1606605870,19,11
1606613286,23,21
1606620487,40,51
1606627688,37,24
1606635132,26,16
1606641609,11,18
1606648807,17,13
1606656008,17,17
1606663930,13,13
1606669690,9,16
1606673655,13,14
1606676654,7,0
1606679172,14,0
1606681232,4,16
1606686271,9,0
1606692753,16,18
1606700189,20,24
1606707628,45,43
1606714807,31,28
1606722009,19,11
1606729211,10,22
1606736407,14,14
1606743847,21,23
1606751051,15,23
1606758247,18,20
1606765447,27,24
1606769048,11,12
1606773367,9,0
1606779854,16,17
1606787287,28,32
1606794485,43,54
1606801686,31,30
1606808890,15,7
1606816087,19,16
1606823287,18,16
1606830008,24,19
1606837487,17,9
1606842745,3,23
1606846574,11,0
1606853768,16,17
1606860995,14,17
1606862415,2,0
1606864572,4,12
1606871770,29,35
1606874655,4,0
1606875399,3,0
1606877770,18,0
1606878490,0,43
1606879928,29,0
1606882812,1,0
1606887909,39,14
1606890969,12,0
1606898169,21,17
1606905368,17,13
1606912571,13,18
1606920488,25,24
1606927687,23,15
1606934433,21,18
1606941664,19,10
1606949075,12,16
1606956274,18,32
1606963719,36,52
1606970912,37,27
1606978131,24,13
1606985314,21,15
1606992752,22,12
